id,lat,lon,status,install_year
SL_2144,37.289603,127.047145,정상,2013
SL_2145,37.290269,127.049449,정상,2013
SL_2146,37.290116,127.049669,정상,2013
SL_2147,37.289962,127.049875,정상,2013
SL_2148,37.289823,127.050061,정상,2013
SL_2149,37.289656,127.050283,정상,2013
SL_2150,37.289543,127.050438,정상,2013
SL_2151,37.289455,127.050568,정상,2013
SL_2152,37.289192,127.0509,정상,2013
SL_2153,37.287774,127.052292,고장,2011
SL_2154,37.287578,127.052563,정상,2011
SL_2155,37.287366,127.052839,정상,2011
SL_2156,37.287722,127.052876,정상,2011
SL_2157,37.287564,127.053107,정상,2011
SL_2158,37.287391,127.053335,정상,2011
SL_2159,37.287242,127.053535,정상,2011
SL_2160,37.290241,127.045149,정상,2013
SL_2161,37.28824,127.048109,정상,2013
SL_2162,37.28808,127.048579,정상,2013
SL_2163,37.287931,127.048991,정상,2013
SL_2164,37.287771,127.049329,정상,2013
SL_2165,37.287687,127.049464,정상,2013
SL_2166,37.287295,127.049957,정상,2013
SL_2167,37.286822,127.05034,정상,2013
SL_2168,37.286545,127.05029,정상,2013
SL_2169,37.286991,127.049937,정상,2013
SL_2170,37.287307,127.049639,정상,2013
SL_2171,37.289971,127.045564,정상,2013
SL_2172,37.287615,127.049205,정상,2013
SL_2173,37.287827,127.048731,정상,2013
SL_2174,37.288021,127.04817,정상,2013
SL_2175,37.288152,127.047804,정상,2013
SL_2176,37.288305,127.047477,정상,2013
SL_2177,37.288438,127.047237,정상,2013
SL_2178,37.288587,127.047015,정상,2013
SL_2179,37.2889,127.046601,정상,2013
SL_2180,37.289013,127.046446,정상,2013
SL_2181,37.289293,127.046076,정상,2013
SL_2182,37.289903,127.045648,정상,2013
SL_2183,37.289588,127.045685,정상,2013
SL_2184,37.289716,127.04551,정상,2013
SL_2185,37.289854,127.045324,정상,2013
SL_2186,37.289525,127.046102,정상,2013
SL_2187,37.289234,127.046482,정상,2013
SL_2188,37.289171,127.046595,정상,2013
SL_2189,37.289042,127.046761,정상,2013
SL_2190,37.2887,127.047207,정상,2013
SL_2191,37.288456,127.047604,정상,2013
SL_2192,37.290021,127.043717,정상,2013
SL_2193,37.290199,127.043948,정상,2013
SL_2194,37.290375,127.044166,정상,2013
SL_2195,37.290613,127.044386,정상,2013
SL_2196,37.290415,127.044947,정상,2013
SL_2197,37.290257,127.044789,정상,2013
SL_2198,37.290106,127.044563,정상,2013
SL_2199,37.289935,127.044343,정상,2013
SL_2200,37.289746,127.0441,정상,2013
SL_2201,37.286425,127.04012,정상,2014
SL_2202,37.286003,127.042381,정상,2014
SL_2203,37.286167,127.042734,정상,2014
SL_2204,37.285996,127.043069,정상,2014
SL_2205,37.286131,127.043461,정상,2014
SL_2206,37.28589,127.043577,정상,2014
SL_2207,37.285728,127.044008,정상,2014
SL_2208,37.285966,127.043943,정상,2014
SL_2209,37.286203,127.043923,정상,2014
SL_2210,37.286439,127.044079,정상,2014
SL_2211,37.28668,127.04424,정상,2014
SL_2212,37.286184,127.040089,정상,2014
SL_2213,37.286838,127.04435,정상,2014
SL_2214,37.286231,127.040416,정상,2014
SL_2215,37.286033,127.040636,정상,2014
SL_2216,37.286188,127.041113,정상,2014
SL_2217,37.286028,127.041225,정상,2014
SL_2218,37.286179,127.041527,정상,2014
SL_2219,37.28601,127.041724,정상,2014
SL_2220,37.286174,127.042167,정상,2014
SL_2221,37.290645,127.059066,고장,2013
SL_2222,37.290266,127.060972,정상,2013
SL_2223,37.29041,127.060656,정상,2013
SL_2224,37.290554,127.060329,정상,2013
SL_2225,37.290676,127.059991,정상,2013
SL_2226,37.290789,127.059681,정상,2013
SL_2227,37.290888,127.059393,정상,2013
SL_2228,37.29105,127.059467,정상,2013
SL_2229,37.291334,127.059743,정상,2013
SL_2230,37.291586,127.059992,정상,2013
SL_2231,37.291645,127.059823,정상,2013
SL_2232,37.290744,127.059196,정상,2013
SL_2233,37.291087,127.059281,정상,2013
SL_2234,37.29101,127.059016,정상,2013
SL_2235,37.291145,127.058644,정상,2013
SL_2236,37.291294,127.058418,정상,2013
SL_2237,37.291533,127.058165,정상,2013
SL_2238,37.29184,127.058007,정상,2013
SL_2239,37.292083,127.057934,정상,2013
SL_2240,37.292304,127.057872,정상,2013
SL_2241,37.292515,127.057821,정상,2013
SL_2242,37.291898,127.057753,정상,2013
SL_2243,37.290645,127.059512,정상,2013
SL_2244,37.291574,127.057894,정상,2013
SL_2245,37.291281,127.058091,정상,2013
SL_2246,37.291046,127.058412,정상,2013
SL_2247,37.290875,127.05883,정상,2013
SL_2248,37.290528,127.059816,정상,2013
SL_2249,37.29041,127.060166,정상,2013
SL_2250,37.290271,127.060521,정상,2013
SL_2251,37.290113,127.060853,정상,2013
SL_2252,37.289887,127.061287,정상,2013
SL_2253,37.290045,127.061411,정상,2013
SL_2254,37.292759,127.057754,정상,2012
SL_2255,37.295134,127.056267,정상,2012
SL_2256,37.295616,127.055517,정상,2012
SL_2257,37.295355,127.055743,정상,2012
SL_2258,37.295156,127.055923,정상,2012
SL_2259,37.29503,127.056058,정상,2012
SL_2260,37.29476,127.056289,정상,2012
SL_2261,37.294534,127.056487,정상,2012
SL_2262,37.294219,127.056695,정상,2012
SL_2263,37.293935,127.056886,정상,2012
SL_2264,37.293687,127.05696,정상,2012
SL_2265,37.2932,127.057596,정상,2012
SL_2266,37.293687,127.057067,정상,2012
SL_2267,37.293444,127.057202,정상,2012
SL_2268,37.293169,127.057365,정상,2012
SL_2269,37.292874,127.057455,정상,2012
SL_2270,37.292554,127.057548,정상,2012
SL_2271,37.292227,127.057641,정상,2012
