id,lat,lon,status,install_year,geometry
SL_1495,37.301404,127.045241,정상,2013,POINT (127.045241 37.301404)
SL_1496,37.301655,127.04554,정상,2013,POINT (127.04554 37.301655)
SL_1497,37.301946,127.045813,정상,2013,POINT (127.045813 37.301946)
SL_1498,37.302279,127.046316,정상,2013,POINT (127.046316 37.302279)
SL_1499,37.302414,127.046101,정상,2013,POINT (127.046101 37.302414)
SL_1500,37.302448,127.046491,정상,2013,POINT (127.046491 37.302448)
SL_1501,37.303344,127.047348,정상,2013,POINT (127.047348 37.303344)
SL_1502,37.303965,127.047543,정상,2013,POINT (127.047543 37.303965)
SL_1503,37.304157,127.047563,정상,2013,POINT (127.047563 37.304157)
SL_1504,37.304463,127.047572,정상,2013,POINT (127.047572 37.304463)
SL_1505,37.304749,127.047566,정상,2013,POINT (127.047566 37.304749)
SL_1506,37.304988,127.047561,정상,2013,POINT (127.047561 37.304988)
SL_1507,37.304851,127.047338,정상,2013,POINT (127.047338 37.304851)
SL_1508,37.3044,127.047332,정상,2013,POINT (127.047332 37.3044)
SL_1509,37.304171,127.047332,정상,2013,POINT (127.047332 37.304171)
SL_1510,37.302072,127.045633,정상,2013,POINT (127.045633 37.302072)
SL_1511,37.304051,127.047321,정상,2013,POINT (127.047321 37.304051)
SL_1512,37.303826,127.047168,정상,2013,POINT (127.047168 37.303826)
SL_1513,37.303616,127.04703,정상,2013,POINT (127.04703 37.303616)
SL_1514,37.30388,127.047797,정상,2013,POINT (127.047797 37.30388)
SL_1515,37.303769,127.048085,정상,2013,POINT (127.048085 37.303769)
SL_1516,37.303672,127.048361,정상,2013,POINT (127.048361 37.303672)
SL_1517,37.301804,127.045362,정상,2013,POINT (127.045362 37.301804)
SL_1518,37.301444,127.045018,정상,2013,POINT (127.045018 37.301444)
SL_1519,37.30129,127.044905,정상,2013,POINT (127.044905 37.30129)
SL_1520,37.301295,127.04422,정상,2013,POINT (127.04422 37.301295)
SL_1521,37.301327,127.044149,정상,2013,POINT (127.044149 37.301327)
SL_1522,37.301523,127.044336,정상,2013,POINT (127.044336 37.301523)
SL_1523,37.251219,127.051249,정상,2014,POINT (127.051249 37.251219)
SL_1524,37.248848,127.049388,정상,2014,POINT (127.049388 37.248848)
SL_1525,37.248724,127.049301,정상,2014,POINT (127.049301 37.248724)
SL_1526,37.248616,127.049233,정상,2014,POINT (127.049233 37.248616)
SL_1527,37.248407,127.049019,정상,2014,POINT (127.049019 37.248407)
SL_1528,37.24831,127.048943,정상,2014,POINT (127.048943 37.24831)
SL_1529,37.248159,127.04883,정상,2014,POINT (127.04883 37.248159)
SL_1530,37.247772,127.048511,정상,2014,POINT (127.048511 37.247772)
SL_1531,37.247574,127.048331,정상,2014,POINT (127.048331 37.247574)
SL_1532,37.247562,127.048066,정상,2014,POINT (127.048066 37.247562)
SL_1533,37.24833,127.048562,정상,2014,POINT (127.048562 37.24833)
SL_1534,37.251017,127.051069,정상,2014,POINT (127.051069 37.251017)
SL_1535,37.248306,127.047849,정상,2014,POINT (127.047849 37.248306)
SL_1536,37.248457,127.047393,정상,2014,POINT (127.047393 37.248457)
