id,lat,lon,status,install_year,geometry,dong_name
SL_4162,37.252358,127.070587,정상,1997,POINT (206262.2419205709 517021.9838494508),영통동
SL_4163,37.252534,127.070773,정상,1997,POINT (206278.72861402674 517041.5290743068),영통동
SL_4164,37.252727,127.070968,정상,1997,POINT (206296.01226227582 517062.9616317624),영통동
SL_4165,37.252912,127.07116,정상,1997,POINT (206313.0303417229 517083.5061662235),영통동
SL_4166,37.253061,127.071306,정상,1997,POINT (206325.9704213093 517100.0522936053),영통동
SL_4167,37.253254,127.071493,정상,1997,POINT (206342.54410343658 517121.4844144142),영통동
SL_4168,37.253403,127.071684,정상,1997,POINT (206359.47626074398 517138.03361095535),영통동
SL_4169,37.253517,127.071828,정상,1997,POINT (206372.2416818894 517150.69529204373),영통동
SL_4170,37.253614,127.071983,정상,1997,POINT (206385.98436622694 517161.47103370936),영통동
SL_4171,37.253713,127.072119,정상,1997,POINT (206398.04125978527 517172.46747843205),영통동
SL_4172,37.256222,127.066338,정상,1997,POINT (205884.98427664198 517450.54732150806),영통동
SL_4173,37.253828,127.072271,정상,1997,POINT (206411.51620515803 517185.2407432747),영통동
SL_4174,37.25331,127.072014,정상,1997,POINT (206388.76020685083 517127.7344693242),영통동
SL_4175,37.253065,127.071985,정상,1997,POINT (206386.20813550576 517100.5418200586),영통동
SL_4176,37.25313,127.072298,정상,1997,POINT (206413.97068019214 517107.77684143884),영통동
SL_4177,37.253651,127.067305,정상,1997,POINT (205970.97180920278 517165.2720165187),영통동
SL_4178,37.253362,127.067747,정상,1997,POINT (206010.20685878457 517133.2260720881),영통동
SL_4179,37.253119,127.068178,정상,1997,POINT (206048.46265654385 517106.28480019205),영통동
SL_4180,37.252904,127.068516,정상,1997,POINT (206078.46585777873 517082.4452343891),영통동
SL_4181,37.252695,127.068891,정상,1997,POINT (206111.75124671514 517059.27405935555),영통동
SL_4182,37.252505,127.069201,정상,1997,POINT (206139.26870477002 517038.2074645318),영통동
SL_4183,37.255931,127.066476,정상,1997,POINT (205897.2492338221 517418.26001310773),영통동
SL_4184,37.252305,127.069527,정상,1997,POINT (206168.20658348236 517016.032178944),영통동
SL_4185,37.252052,127.069919,정상,1997,POINT (206203.00427908933 516987.97924990463),영통동
SL_4186,37.251815,127.07033,정상,1997,POINT (206239.48651678662 516961.703436503),영통동
SL_4187,37.251615,127.070662,정상,1997,POINT (206268.957229106 516939.52889555524),영통동
SL_4188,37.255586,127.066631,정상,1997,POINT (205911.0266219231 517379.9807328836),영통동
SL_4189,37.255268,127.066783,정상,1997,POINT (205924.53588103788 517344.69781577843),영통동
SL_4190,37.254836,127.066968,정상,1997,POINT (205940.98175469335 517296.7649942162),영통동
SL_4191,37.254534,127.067112,정상,1997,POINT (205953.78030063477 517263.257345231),영통동
SL_4192,37.254185,127.067269,정상,1997,POINT (205967.73594364204 517224.53436256625),영통동
SL_4193,37.241352,127.06158,정상,2004,POINT (205463.96557316603 515799.9548588264),망포동
