year,month,day,hour,day_night,day_of_week,city,district,accident_type,lon,lat,datetime
2014,05,17,20,야간,토,경기,수원시,차대사람,127.06944695,37.25243297,2014-05-17 20:00:00
2013,04,21,00,야간,일,경기,수원시,차대사람,127.06797251,37.24800174,2013-04-21 00:00:00
2013,08,29,21,야간,목,경기,수원시,차대차,127.06883524,37.28061738,2013-08-29 21:00:00
2012,07,26,04,야간,목,경기,수원시,차대사람,126.94818098,37.26650543,2012-07-26 04:00:00
2014,01,26,21,야간,일,경기,수원시,차대사람,127.00327106,37.27750301,2014-01-26 21:00:00
2014,04,24,19,야간,목,경기,수원시,차대사람,127.04614471,37.23830217,2014-04-24 19:00:00
2013,04,30,09,주간,화,경기,수원시,차대차,127.03989116,37.30602759,2013-04-30 09:00:00
2013,03,23,20,야간,토,경기,수원시,차대사람,127.068017,37.24842538,2013-03-23 20:00:00
2014,09,20,01,야간,토,경기,수원시,차대사람,127.03362493,37.26662948,2014-09-20 01:00:00
2012,04,01,02,야간,일,경기,수원시,차량단독,126.98739816,37.31935888,2012-04-01 02:00:00
2012,02,22,13,주간,수,경기,수원시,차대사람,126.98683377,37.25125644,2012-02-22 13:00:00
2014,04,26,08,주간,토,경기,수원시,차량단독,127.03353837,37.25323441,2014-04-26 08:00:00
2014,04,30,14,주간,수,경기,수원시,차대사람,126.97163355,37.29968441,2014-04-30 14:00:00
2013,05,27,22,야간,월,경기,수원시,차대사람,127.02570558,37.23635618,2013-05-27 22:00:00
2014,10,13,18,야간,월,경기,수원시,차대사람,127.01676809,37.2765403,2014-10-13 18:00:00
2014,06,30,12,주간,월,경기,수원시,차대차,126.98931943,37.2421721,2014-06-30 12:00:00
2014,04,27,05,야간,일,경기,수원시,차대사람,127.00132009,37.26546121,2014-04-27 05:00:00
2013,03,10,13,주간,일,경기,수원시,차대사람,126.99169126,37.29860045,2013-03-10 13:00:00
2014,07,12,23,야간,토,경기,수원시,차대차,126.9848333,37.25193281,2014-07-12 23:00:00
2013,07,18,17,주간,목,경기,수원시,차대사람,127.03735861,37.27660561,2013-07-18 17:00:00
2012,02,05,18,야간,일,경기,수원시,차대차,126.9917788,37.26041791,2012-02-05 18:00:00
2013,05,27,01,야간,월,경기,수원시,차대차,127.0272077,37.26840682,2013-05-27 01:00:00
2014,09,21,11,주간,일,경기,수원시,차대차,126.98593049,37.27300314,2014-09-21 11:00:00
2014,12,07,19,야간,일,경기,수원시,차대사람,127.0073692,37.2613852,2014-12-07 19:00:00
2014,12,17,22,야간,수,경기,수원시,차대차,127.0124054,37.2883757,2014-12-17 22:00:00
2014,06,13,03,야간,금,경기,수원시,차대사람,126.97035703,37.29829056,2014-06-13 03:00:00
2014,05,01,09,주간,목,경기,수원시,차대차,127.01133804,37.28769526,2014-05-01 09:00:00
2014,10,12,14,주간,일,경기,수원시,차대사람,126.99831406,37.29696114,2014-10-12 14:00:00
2013,05,25,10,주간,토,경기,수원시,차대차,126.98649919,37.25237272,2013-05-25 10:00:00
2012,01,04,11,주간,수,경기,수원시,차대사람,127.01619854,37.27564559,2012-01-04 11:00:00
2013,06,25,07,주간,화,경기,수원시,차대사람,127.03518855,37.25260992,2013-06-25 07:00:00
2014,12,19,22,야간,금,경기,수원시,차대차,127.01285601,37.26922298,2014-12-19 22:00:00
2014,11,06,17,주간,목,경기,수원시,차대차,127.00747311,37.2852545,2014-11-06 17:00:00
2014,12,12,13,주간,금,경기,수원시,차대사람,127.00328197,37.26210726,2014-12-12 13:00:00
2014,11,22,20,야간,토,경기,수원시,차대사람,127.05236752,37.30887795,2014-11-22 20:00:00
2014,12,13,03,야간,토,경기,수원시,차대사람,127.03672014,37.25661812,2014-12-13 03:00:00
2014,01,28,01,야간,화,경기,수원시,차대사람,127.00069118,37.26676558,2014-01-28 01:00:00
2014,10,14,23,야간,화,경기,수원시,차대차,127.02094434,37.29390905,2014-10-14 23:00:00
2014,10,26,22,야간,일,경기,수원시,차대사람,127.00794147,37.29994909,2014-10-26 22:00:00
2014,10,03,05,야간,금,경기,수원시,차대사람,127.05369755,37.27285436,2014-10-03 05:00:00
2014,01,02,18,야간,목,경기,수원시,차대사람,126.9957833,37.25688354,2014-01-02 18:00:00
2014,10,23,22,야간,목,경기,수원시,차대차,127.06781409,37.24810031,2014-10-23 22:00:00
2014,09,04,11,주간,목,경기,수원시,차량단독,127.02705581,37.24399642,2014-09-04 11:00:00
2014,12,04,05,야간,목,경기,수원시,차대사람,127.03336993,37.26591638,2014-12-04 05:00:00
2014,12,19,09,주간,금,경기,수원시,차대사람,127.02556421,37.28047891,2014-12-19 09:00:00
2014,11,21,06,주간,금,경기,수원시,차대사람,127.01552429,37.28581053,2014-11-21 06:00:00
2014,11,30,05,야간,일,경기,수원시,차량단독,126.99685578,37.29907321,2014-11-30 05:00:00
2014,03,22,01,야간,토,경기,수원시,차대차,126.99529507,37.31649938,2014-03-22 01:00:00
2014,08,24,20,야간,일,경기,수원시,차대사람,126.98519902,37.29097368,2014-08-24 20:00:00
2014,09,05,03,야간,금,경기,수원시,차량단독,127.01086476,37.27017926,2014-09-05 03:00:00
2014,09,29,16,주간,월,경기,수원시,차대사람,127.01743065,37.27523598,2014-09-29 16:00:00
2014,11,15,01,야간,토,경기,수원시,차대사람,127.02003083,37.23343081,2014-11-15 01:00:00
2014,10,04,05,야간,토,경기,수원시,차대사람,127.01899755,37.26475014,2014-10-04 05:00:00
2014,11,27,17,주간,목,경기,수원시,차대사람,127.01096675,37.28754049,2014-11-27 17:00:00
2014,10,11,00,야간,토,경기,수원시,차대사람,126.97324869,37.25898483,2014-10-11 00:00:00
2014,11,04,13,주간,화,경기,수원시,차대차,127.00800026,37.28572541,2014-11-04 13:00:00
2014,11,17,18,야간,월,경기,수원시,차대차,126.95753382,37.26607092,2014-11-17 18:00:00
2014,09,07,21,야간,일,경기,수원시,차대사람,127.01586785,37.29557399,2014-09-07 21:00:00
