SIGNGU,TYPE,AREA_ID,GOMTR_TYPE,PXL_CRDNT,PLAC_CNT
수원시,Feature,다사49ba19ab,Polygon,"[[[126.93040788676753, 37.270792998139314], [126.93039091033323, 37.27304639029154], [126.93321063103195, 37.27305992426187], [126.93322752343923, 37.27080653101208], [126.93040788676753, 37.270792998139314]]]",1
수원시,Feature,다사49ba19ba,Polygon,"[[[126.93039091033323, 37.27304639029154], [126.93037393200962, 37.27529978157728], [126.93319373674467, 37.27531331664526], [126.93321063103195, 37.27305992426187], [126.93039091033323, 37.27304639029154]]]",0
수원시,Feature,다사49ba19bb,Polygon,"[[[126.93037393200962, 37.27529978157728], [126.93035695179641, 37.27755317199652], [126.93317684057718, 37.2775667081622], [126.93319373674467, 37.27531331664526], [126.93037393200962, 37.27529978157728]]]",1
수원시,Feature,다사49ba20aa,Polygon,"[[[126.93035695179641, 37.27755317199652], [126.93033996969342, 37.27980656154926], [126.93315994252926, 37.27982009881268], [126.93317684057718, 37.2775667081622], [126.93035695179641, 37.27755317199652]]]",0
수원시,Feature,다사49ba20ab,Polygon,"[[[126.93033996969342, 37.27980656154926], [126.93032298570046, 37.28205995023544], [126.93314304260068, 37.28207348859671], [126.93315994252926, 37.27982009881268], [126.93033996969342, 37.27980656154926]]]",0
수원시,Feature,다사49ba20ba,Polygon,"[[[126.93032298570046, 37.28205995023544], [126.93030599981724, 37.28431333805507], [126.93312614079123, 37.28432687751424], [126.93314304260068, 37.28207348859671], [126.93032298570046, 37.28205995023544]]]",0
수원시,Feature,다사49ba20bb,Polygon,"[[[126.93030599981724, 37.28431333805507], [126.93028901204357, 37.28656672500813], [126.93310923710071, 37.28658026556525], [126.93312614079123, 37.28432687751424], [126.93030599981724, 37.28431333805507]]]",0
수원시,Feature,다사49ba21aa,Polygon,"[[[126.93028901204357, 37.28656672500813], [126.93027202237927, 37.2888201110946], [126.93309233152884, 37.288833652749744], [126.93310923710071, 37.28658026556525], [126.93028901204357, 37.28656672500813]]]",0
수원시,Feature,다사49ba21ab,Polygon,"[[[126.93027202237927, 37.2888201110946], [126.93025503082404, 37.291073496314446], [126.93307542407545, 37.291087039067676], [126.93309233152884, 37.288833652749744], [126.93027202237927, 37.2888201110946]]]",1
수원시,Feature,다사49ba21ba,Polygon,"[[[126.93025503082404, 37.291073496314446], [126.93023803737772, 37.29332688066767], [126.93305851474034, 37.29334042451905], [126.93307542407545, 37.291087039067676], [126.93025503082404, 37.291073496314446]]]",0
