,district,X_coord,Y_coord
613,강남구,202763.8049,544374.3875
614,강남구,202763.8049,544374.3875
615,강남구,202763.8049,544374.3875
616,강남구,202743.7649,544420.9675
617,강남구,202748.6828,544367.9684
618,강남구,202748.6828,544367.9684
619,강남구,202748.6828,544367.9684
620,강남구,202748.6828,544367.9684
621,강남구,202748.6828,544367.9684
622,강남구,203659.4967,543364.9204
623,강남구,202821.8162,544219.8899
624,강남구,202828.9495,544202.7011
625,강남구,202828.9495,544202.7011
626,강남구,202813.2495,544196.6011
627,강남구,202813.2495,544196.6011
628,강남구,202813.2495,544196.6011
629,강남구,203020.5976,543701.6061
630,강남구,203020.5976,543701.6061
631,강남구,203020.5976,543701.6061
632,강남구,203020.5976,543701.6061
633,강남구,203004.7976,543694.9061
634,강남구,203004.7976,543694.9061
635,강남구,208966.8266,543107.8272
636,강남구,208969.7495,543081.7037
637,강남구,204673.7125,544630.6812
638,강남구,204661.6597,544643.3933
639,강남구,201882.4356,547106.9696
640,강남구,201882.4356,547106.9696
641,강남구,201882.4356,547106.9696
642,강남구,201882.4356,547106.9696
643,강남구,207731.1473,543694.4113
644,강남구,207731.1473,543694.4113
645,강남구,204118.2734,546536.9194
646,강남구,204118.2734,546536.9194
647,강남구,203506.7904,546930.7986
648,강남구,203506.7904,546930.7986
649,강남구,203506.7904,546930.7986
650,강남구,203032.7205,546731.0603
651,강남구,204835.2,544182.8187
652,강남구,204819.1834,544173.6562
653,강남구,204849.2345,544177.9849
654,강남구,203516.3032,547259.7896
655,강남구,203516.3032,547259.7896
656,강남구,203516.3032,547259.7896
657,강남구,203066.7362,546733.94
658,강남구,204620.0622,544215.7262
659,강남구,204620.0622,544215.7262
660,강남구,203319.0366,547044.5916
661,강남구,203319.0366,547044.5916
662,강남구,203319.0366,547044.5916
663,강남구,203325.9125,547007.0562
664,강남구,203325.9125,547007.0562
665,강남구,203325.9125,547007.0562
666,강남구,202011.5616,545772.8404
667,강남구,202011.5616,545772.8404
668,강남구,202216.9025,545875.5428
669,강남구,202216.9025,545875.5428
670,강남구,202216.9025,545875.5428
671,강남구,202216.9025,545875.5428
672,강남구,202217.5249,545852.5892
673,강남구,202217.5249,545852.5892
674,강남구,202217.5249,545852.5892
675,강남구,202217.5249,545852.5892
676,강남구,204022.6949,547467.2901
677,강남구,204022.6949,547467.2901
678,강남구,204022.6949,547467.2901
679,강남구,204022.6949,547467.2901
680,강남구,204792.5959,547297.9559
681,강남구,209719.892,540634.509
682,강남구,209735.9655,540588.257
683,강남구,202620.1,546357.9062
684,강남구,202620.1,546357.9062
685,강남구,202598.1,546348.4062
686,강남구,202598.1,546348.4062
687,강남구,202598.1,546348.4062
688,강남구,205524.8532,544422.784
689,강남구,205405.5625,543772.3438
690,강남구,205269.1125,543692.5312
691,강남구,203669.3875,545055.5062
692,강남구,203669.3875,545055.5062
693,강남구,203669.3875,545055.5062
694,강남구,209564.9687,540630.6884
695,강남구,209611.7194,540618.443
696,강남구,203156.0375,546242.4062
697,강남구,203156.0375,546242.4062
698,강남구,204559.8622,544362.3262
699,강남구,204559.8622,544362.3262
700,강남구,204587.4958,544360.0329
701,강남구,204587.4958,544360.0329
702,강남구,204568.5616,544352.2268
703,강남구,204568.5616,544352.2268
704,강남구,202314.9181,547382.5303
705,강남구,202314.9181,547382.5303
706,강남구,202314.9181,547382.5303
707,강남구,210468.3183,540829.0544
708,강남구,203684.7036,543336.3091
709,강남구,204421.2965,543243.4267
710,강남구,204421.2965,543243.4267
711,강남구,204427.95,543210.8562
712,강남구,204427.95,543210.8562
713,강남구,204427.95,543210.8562
714,강남구,209594.7345,540564.7634
715,강남구,206171.0375,544085.5687
716,강남구,205589.8638,543859.2867
717,강남구,205589.8638,543859.2867
718,강남구,205589.8638,543859.2867
719,강남구,205589.8638,543859.2867
720,강남구,205572.5513,543867.7568
721,강남구,205569.325,543902.6812
722,강남구,205572.1954,543907.8845
723,강남구,205572.1954,543907.8845
724,강남구,205609.7579,543920.6345
725,강남구,205621.5781,543891.4375
726,강남구,205621.5781,543891.4375
727,강남구,205616.1125,543869.8937
728,강남구,205616.1125,543869.8937
729,강남구,203049.5,542785.6312
730,강남구,203049.5,542785.6312
731,강남구,202964.8375,547388.5062
732,강남구,202964.8375,547388.5062
733,강남구,202932.2944,547388.1825
734,강남구,202932.2944,547388.1825
735,강남구,202952.5221,547082.3384
736,강남구,202952.5221,547082.3384
737,강남구,202952.5221,547082.3384
738,강남구,202922.3346,547067.7134
739,강남구,202922.3346,547067.7134
740,강남구,203127.4333,543460.7895
741,강남구,203097.4553,543444.4292
742,강남구,203549.68,547377.3562
743,강남구,204044.6848,544914.1482
744,강남구,204044.6848,544914.1482
745,강남구,204044.6848,544914.1482
746,강남구,204044.6848,544914.1482
747,강남구,204049.6621,544879.1142
748,강남구,204049.6621,544879.1142
749,강남구,204049.6621,544879.1142
750,강남구,204049.6621,544879.1142
751,강남구,204049.6621,544879.1142
752,강남구,204049.6621,544879.1142
753,강남구,203788.7726,544824.6136
754,강남구,203788.7726,544824.6136
755,강남구,203788.7726,544824.6136
756,강남구,203835.2852,544279.4637
757,강남구,203835.2852,544279.4637
758,강남구,203849.3227,544268.5512
759,강남구,203849.3227,544268.5512
760,강남구,208871.1946,543076.7859
761,강남구,208871.1946,543076.7859
762,강남구,208852.9249,543071.6009
763,강남구,208852.9249,543071.6009
764,강남구,208852.9249,543071.6009
765,강남구,203995.4745,542741.7814
766,강남구,203974.0282,542750.793
767,강남구,203263.3043,543539.0198
768,강남구,203274.9741,543517.5773
769,강남구,203099.273,543493.7833
770,강남구,203099.273,543493.7833
771,강남구,204902.4375,547560.3312
772,강남구,202985.6602,547580.2201
773,강남구,202985.6602,547580.2201
774,강남구,202985.6602,547580.2201
775,강남구,203696.9288,547899.2483
776,강남구,205513.1375,542583.2562
777,강남구,204152.25,547206.5437
778,강남구,204152.25,547206.5437
779,강남구,204152.25,547206.5437
780,강남구,203660.4953,543337.6672
781,강남구,206762.3147,543700.7651
782,강남구,206762.3147,543700.7651
